1111A0;.91698915
1111B0;.93636078
111200;.78150213
111335;.69444239
1113A0;.71209204
111400;.58990461
111910;.83410901
111920;.88653898
1119A0;.85240954
1119B0;.87551093
112120;.8654573
1121A0;.94991118
112300;.95107794
112A00;.84302408
113300;.80607766
113A00;.93294024
114100;.75273877
114200;.94313043
115000;.44627178
211000;.88089985
212100;.65725154
212210;.72917354
212230;.65664619
2122A0;.57277662
212310;.63324195
212320;.60438162
212390;.67007428
213111;.71243572
213112;.62630266
21311A;.73436528
221100;.61180049
221200;.89050561
221300;.5654636
230101;.48848057
230102;.44538131
230103;.5140785
230201;.65326726
230202;.63280183
230301;.46668676
230302;.80944401
311111;.88713658
311119;.90615809
311210;.91571689
311221;.91382265
311225;.93342948
31122A;.96753031
311230;.84012699
311313;.86615187
31131A;.88757479
311320;.86155736
311330;.81360948
311340;.80289096
311410;.83114672
311420;.85581446
311513;.92034668
311514;.90559256
31151A;.87816924
311520;.88936478
311615;.82247192
31161A;.88227457
311700;.83794773
311810;.67122316
311820;.82754761
311830;.71619153
311910;.84486848
311920;.87992847
311930;.90578449
311940;.85693341
311990;.80884796
312110;.89331728
312120;.85384625
312130;.85144997
312140;.88382387
3122A0;.86649799
313100;.79903567
313210;.72853148
313220;.64671433
313230;.77599198
313240;.76502454
313310;.78430688
313320;.75434619
314110;.84924597
314120;.76446456
314910;.63402414
314990;.7238254
315100;.70827693
315210;.46135896
315220;.76443565
315230;.86604869
315290;.6660887
315900;.6981681
316100;.83200759
316200;.69964832
316900;.68127149
321100;.81434256
321219;.77303952
32121A;.73307377
32121B;.70579916
321910;.73564363
321920;.70157802
321991;.72863138
321992;.71518433
321999;.72202086
322110;.77854759
322120;.76722282
322130;.78694046
322210;.77314514
32222A;.77419692
32222B;.76616073
322230;.75443482
322291;.78810549
322299;.74449718
323110;.62781203
323120;.45787793
324110;.96984112
324121;.89290816
324122;.87619096
324191;.87288302
324199;.87704724
325110;.96262318
325120;.82163692
325130;.82348627
325181;.80797362
325182;.85696703
325188;.70001358
325190;.86934453
325211;.88424325
325212;.84880537
325220;.82100415
325310;.87365514
325320;.89727414
325411;.82841873
325412;.82508832
325413;.79454893
325414;.759206
325510;.84911096
325520;.82337987
325610;.88941312
325620;.83729732
325910;.82604128
3259A0;.79863709
326110;.7625559
326121;.69368231
326122;.80650818
326130;.71827978
326140;.75512558
326150;.77231681
326160;.7659325
32619A;.70016205
326210;.66429049
326220;.69766206
326290;.68018013
32711A;.56799227
32712A;.5836823
32712B;.70037109
327211;.67371792
327212;.60160565
327213;.66924649
327215;.69709367
327310;.75950235
327320;.75257415
327330;.68611389
327390;.63405192
3274A0;.76574343
327910;.6541875
327991;.58397794
327992;.70785129
327993;.70313883
327999;.74134588
331110;.78605539
331200;.79425997
331314;.89836252
33131A;.79734421
33131B;.82260478
331411;.9200868
331419;.76619047
331420;.82473677
331490;.73747426
331510;.57881838
331520;.64788342
332114;.77891278
33211A;.68948281
33211B;.65922076
33221A;.65900356
33221B;.62599486
332310;.69764405
332320;.67955142
332410;.64585805
332420;.64886051
332430;.82742333
332500;.67141038
332600;.66285729
332710;.5548079
332720;.59217352
332800;.65445846
332913;.76105887
33291A;.64146632
332991;.62674779
332996;.66536963
33299A;.54901415
33299B;.57608026
33299C;.65556085
333111;.76865828
333112;.83751029
333120;.79364347
333130;.6996448
333220;.6661756
333295;.69082999
33329A;.65419537
333314;.63498867
333315;.68364066
333319;.71307075
33331A;.76598048
333414;.71193367
333415;.739712
33341A;.6750654
333511;.52134091
333514;.51892602
333515;.54083562
33351A;.61479193
33351B;.62490207
333611;.91865033
333612;.59712887
333613;.63564777
333618;.81512129
333911;.69915736
333912;.71440977
333920;.70774251
333991;.78779131
333993;.63410884
333994;.59491181
33399A;.65653872
33399B;.63510722
334111;.90677166
334112;.81865108
33411A;.79108369
334210;.7933377
334220;.78888953
334290;.7191841
334300;.84058303
334411;.74796987
334412;.68955851
334413;.7207427
334417;.66984802
334418;.7996996
334419;.66040838
33441A;.63569564
334510;.71856648
334511;.6127938
334512;.72331393
334513;.68964034
334514;.80136299
334515;.56009376
334516;.71193343
334517;.74937576
33451A;.68181264
334613;.81269503
33461A;.74234605
335110;.62773854
335120;.71961874
335210;.73666608
335221;.81595325
335222;.75128496
335224;.71985137
335228;.75869161
335311;.69995499
335312;.68197083
335313;.67652959
335314;.66196162
335911;.71804279
335912;.74393982
335920;.7717129
335930;.67988378
335991;.66574526
335999;.66486609
336111;.89743316
336112;.904212
336120;.88169271
336211;.74238253
336212;.76735777
336213;.82630265
336214;.75744033
336300;.75724089
336411;.74896091
336412;.71564144
336413;.61027884
336414;.67075557
33641A;.49049309
336500;.75214714
336611;.59732205
336612;.75532466
336991;.77593046
336992;.70790756
336999;.85482973
337110;.68841064
337121;.67836982
337122;.63263875
337127;.67233711
33712A;.72174764
337212;.62991613
337215;.65697956
33721A;.68169391
337910;.77079564
337920;.69191289
339111;.63683373
339112;.61507922
339113;.65196598
339114;.65312183
339115;.61141014
339116;.40586486
339910;.75749505
339920;.72671556
339930;.73564351
339940;.64920342
339950;.63787878
339991;.61723685
339992;.59938681
339994;.66534895
33999A;.65712291
420000;.44668534
481000;.59283906
482000;.70924658
483000;.79877639
484000;.6440556
485000;.53524321
486000;.83521128
48A000;.57375652
491000;.2057533
492000;.47548193
493000;.42918167
4A0000;.45766297
511110;.53759438
511120;.69047624
511130;.66535568
